Player,Kicks,Marks,Handballs,Goals,Behinds,Hitouts,Tackles,Rebound50s,Inside50s,Clearances,Clangers,FreeKicksFor,FreeKicksAgainst,BrownlowVotes,Contested,ContestedMarks  ,MarksInside50,1%  ,Bounces,GoalAssists,TOG,PositionDef,PositionInsideMid,PositionRuck,PositionFor,Win
"Windsor, Caleb",9,3,7,0,0,0,1,1,3,0,3,0,1,0,1,0,0,1,0,0,64,0,0,0,0,0
"Ainsworth, Ben",10,6,6,0,1,0,2,0,6,3,2,0,0,0,6,0,0,0,0,5,81,0,0,0,1,1
"Anderson, Noah",16,3,8,0,2,0,4,0,5,6,1,1,0,0,12,0,0,3,0,0,91,0,1,0,0,1
"Andrew, Mac",7,4,7,0,1,0,0,4,3,0,2,1,0,0,5,1,0,14,0,0,92,1,0,0,0,1
"Budarick, Connor",6,1,2,0,2,0,3,1,2,0,2,1,1,0,4,0,0,0,0,1,70,0,0,0,0,1
"Clohesy, Sam",5,1,5,0,0,0,0,1,1,0,2,0,0,0,2,0,0,0,0,0,57,0,0,0,0,1
"Collins, Sam",5,2,5,0,0,0,0,5,0,0,2,1,0,0,5,0,0,10,0,0,97,1,0,0,0,1
"Flanders, Sam",14,8,12,0,0,0,3,1,3,3,5,0,1,0,10,0,0,0,0,0,81,0,1,0,0,1
"Graham, Will",6,1,4,2,0,0,4,0,3,0,3,1,2,0,5,0,0,1,0,0,79,0,0,0,0,1
"Humphrey, Bailey",7,1,6,1,0,0,4,1,3,2,3,2,0,0,9,0,1,0,0,0,80,0,0,0,0,1
"Jeffrey, Joel",9,1,6,0,0,0,6,0,2,2,3,3,0,0,11,0,0,2,0,0,77,0,0,0,0,1
"King, Ben",5,3,4,2,2,0,0,0,1,0,1,2,1,0,5,1,3,1,0,1,83,0,0,0,1,1
"Long, Ben",7,3,2,2,0,0,5,0,4,0,4,1,0,0,4,2,1,3,0,0,83,0,0,0,1,1
"Miller, Touk",10,3,14,1,0,0,3,3,4,5,1,2,0,1,12,0,1,0,3,0,85,0,1,0,0,1
"Noble, John",12,4,8,0,0,0,5,5,2,1,4,1,1,0,8,0,0,1,0,0,85,1,0,0,0,1
"Powell, Wil",7,6,10,0,0,0,2,6,1,2,5,0,3,0,10,2,0,6,0,0,86,1,0,0,0,1
"Read, Ethan",2,1,1,1,0,4,4,0,0,0,0,0,0,0,2,1,1,2,0,0,66,0,0,0,1,1
"Rioli, Daniel",18,6,8,0,0,0,6,6,5,2,0,1,0,0,6,0,0,1,6,1,80,1,0,0,0,1
"Rogers, Jake",2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,28,0,0,0,1,1
"Rowell, Matt",12,2,5,0,1,0,8,1,6,4,8,1,4,3,10,0,0,2,0,1,85,0,1,0,0,1
"Uwland, Bodhi",8,2,5,0,0,0,3,2,1,0,2,1,0,0,4,0,0,6,0,0,84,1,0,0,0,1
"Walter, Jed",9,5,1,3,2,0,0,0,3,0,2,4,0,0,6,2,3,2,0,0,63,0,0,0,1,1
"Weller, Lachie",7,2,3,1,1,0,3,2,2,0,1,0,0,0,2,0,1,0,1,0,82,0,0,0,0,1
"Witts, Jarrod",5,2,9,0,1,45,3,1,2,5,2,2,1,0,10,1,0,4,0,0,87,0,0,1,0,1
"Borlase, James",5,0,3,0,0,0,1,4,0,0,3,0,2,0,1,0,0,6,0,0,78,1,0,0,0,0
"Cumming, Isaac",13,8,7,0,0,0,5,2,2,0,3,0,0,0,3,0,1,1,0,1,86,0,0,0,0,0
"Curtin, Daniel",7,3,5,0,0,0,3,0,0,0,0,1,0,0,7,1,0,2,0,2,77,0,0,0,0,0
"Dawson, Jordan",17,5,14,0,0,0,6,1,8,6,2,0,0,0,11,1,0,1,0,1,77,0,1,0,0,0
"Draper, Sid",6,0,9,0,0,0,5,1,2,3,3,1,1,0,9,0,0,1,0,0,60,0,0,0,0,0
"Fogarty, Darcy",7,4,4,3,0,0,1,0,0,0,0,1,0,0,4,1,3,1,0,1,85,0,0,0,1,0
"Hinge, Mitch",17,5,10,0,0,0,2,5,2,0,7,1,3,0,9,0,0,4,1,2,81,1,0,0,0,0
"Keane, Mark",7,3,2,0,0,0,1,4,0,1,4,0,2,0,2,0,0,7,0,0,94,1,0,0,0,0
"Keays, Ben",8,5,9,1,0,0,3,0,4,1,2,1,1,0,6,0,1,0,0,0,93,0,0,0,1,0
"Laird, Rory",6,2,10,0,0,0,4,2,2,1,0,0,0,0,4,0,0,0,0,0,65,1,0,0,0,0
"Michalanney, Max",7,2,2,0,0,0,2,4,0,0,1,0,1,0,0,0,0,0,0,1,92,1,0,0,0,0
"Milera, Wayne",11,3,9,0,0,0,2,6,0,1,2,0,0,0,4,0,0,2,0,0,80,1,0,0,0,0
